Local,Nombre,Precio,Cantidad
Metro,Hamburguesas de Camote y Frijoles Negros Sanúa Caja ,27.20,5 unid
Metro,Pollito Sabor Leña Redondos,19.30, x Unid
Metro,Langostinos Limpios Congelados Medianos ,26.50,400g
Metro,Chicken Bites Oregon Foods Caja ,23.10,600 g
Metro,Bonito Entero Congelado,7.90, x kg
Metro,Hamburguesa Angus Rellena de Cheddar Bon Beef ,50.90,4un
Metro,Panceta de Cerdo Sin Piel y Con Hueso Congelado,28.90, x kg
Metro,Albóndigas de Res Rancheras Oregon Foods Bolsa ,25.90,600 g
Metro,Langostino Precocido Empanizado en Coco Umi Foods Caja ,28.90,283 g
Metro,Lomo Fino Importado Brangus,94.90, x kg
Metro,Albóndiga de Res De la Casa,29.90, x kg
Metro,Chuleta de Brazuelo de Cerdo Con Piel Metro,18.90, x kg
Metro,Langostinos Cocidos Umi Foods Bandeja ,26.90,170 g
Metro,Súper Hamburguesa de Res La Segoviana Bolsa ,16.90,16 unid
Metro,Mini Hamburguesas de Camote y Frijoles Negros Sanúa Caja ,26.20,10 unid
Metro,Mini Hamburguesas de Lentejas y Champiñones Sanúa Caja ,26.20,10 unid
Metro,Mini Hamburguesas de Garbanzos y Espinaca Sanúa Caja ,26.20,10 unid
Metro,Mini Hamburguesas de Quinua y Chía Sanúa Caja ,26.20,10 unid
Metro,Mix de Hamburguesas Vegetarianas Sanúa 5un,26.90,Mix
Metro,Asado de Pejerrey Metro,38.90, x kg
Metro,Filete de Merluza Empanizado Congelado Seafrost Bolsa ,22.50,1 Kg
Metro,Asado Ruso Nacional,36.90, x kg
Metro,Hamburguesa De la Casa Metro,29.90, x kg
Metro,Pechuga de Pavita Congelada San Fernando,24.90, x kg
Metro,Pollipavo Entero Redondos,12.50, x kg
Metro,Panceta de Cerdo en Tiras Sin Piel y con Hueso,29.90, x kg
Metro,Cabrilla Entera,37.90,1 unidad
Metro,Pulpa de Cangrejo congelada Don Marino Bolsa ,31.90,200 g
Metro,Hamburguesas de Pavita San Fernando ,13.52,6un
Metro,Pollo Enrollado con Champiñones Redondos,36.30, x Unid
Metro,Pollo Enrollado Redondos Con Frutas,36.30, x Unid
Metro,Pollo Enrollado Redondos Con Verduras,36.30, x Unid
Metro,Baby Chicken Redondos,18.89, x Unid
Metro,Hamburguesa Vegetariana de Quinua Della Natura Caja ,27.90,600 g
Metro,Hamburguesas Rancheras de Res Oregon Foods ,24.90,6un
Metro,Hamburguesas Angus Oregon Foods ,57.90,4un
Metro,Lomo Enrollado de Cerdo,28.00, x kg
Metro,Bife Ancho Wong Premium,80.90, x kg
Metro,Azúcar Rubia Cuisine&Co Bolsa ,22.45,5 kg
Metro,Azúcar Rubia Máxima Bolsa ,19.95,5 kg
Metro,Azúcar Rubia Metro Bolsa ,20.45,5 kg
Metro,Azúcar Rubia Paramonga Bolsa ,18.90,5 kg
Metro,Pan de Molde Blanco Bimbo Bolsa ,14.80,750 g
Metro,Azúcar Rubia Metro Bolsa ,8.85,2 Kg
Metro,Azúcar Rubia Máxima Bolsa ,4.25,1 kg
Metro,Panetón Clásico Bolsa ,11.90,900 g
Metro,Pan de Molde Unión Multisemillas con Avena ,6.60,540g
Metro,Avena Tradicional Quaker Bolsa ,14.50,900 g
Metro,Hojuelas de Maíz Ángel Zuck ,0.80,20g
Metro,Hojuelas de Maíz Ángel Flakes ,0.80,20g
Metro,Azúcar Rubia Cuisine&Co Bolsa ,4.85,1 kg
Metro,Hojuelas de Avena Precocida Cuisine & Co Bolsa ,9.95,1 Kg
Metro,Mermelada de Fresa Cuisine & Co Frasco ,12.30,1 Kg
Metro,Pan de Molde Integral Cuisine & Co Bolsa ,7.80,500 gr
Metro,Pan de Molde Integral Bimbo Bolsa ,14.80,750 g
Metro,Cocoa Winter's Doypack 400 g,13.50,Pack
Metro,Anis Herbi Caja ,2.10,25 Unidades
Metro,Manzanilla Herbi Caja ,2.10,25 Unidades
Metro,Café Instantáneo Nescafé Tradición Frasco ,25.90,200 g
Metro,Azúcar Rubia Metro Bolsa ,4.45,1 kg
Metro,Pan de Molde Unión Granos Integrales Bolsa ,6.60,540 g
Metro,Pan de Molde Integral Unión Mediano Bolsa ,3.90,360 g
Metro,Pan de Molde Blanco Familiar PYC Bolsa ,9.70,500 g
Metro,Pan de Molde Unión Multisemilla & Chips Miel bolsa ,11.50,540 g
Metro,Tortillas de Trigo Clásicas Rapiditas Bimbo Paquete ,10.50,12 unid
